% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 38.84    0.000315         315         1           execve
 28.24    0.000229           9        23           mmap
  8.14    0.000066          11         6           mprotect
  4.32    0.000035           7         5           openat
  4.07    0.000033          16         2           munmap
  3.70    0.000030          10         3           brk
  2.59    0.000021           4         5           fstat
  1.97    0.000016           4         4           read
  1.97    0.000016           3         5           close
  1.85    0.000015          15         1           getrandom
  0.86    0.000007           3         2           pread64
  0.86    0.000007           7         1           futex
  0.62    0.000005           5         1         1 access
  0.62    0.000005           5         1           prlimit64
  0.37    0.000003           3         1           arch_prctl
  0.37    0.000003           3         1           set_tid_address
  0.37    0.000003           3         1           set_robust_list
  0.25    0.000002           2         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000811          12        64         1 total
