top - 07:15:36 up 2 days, 19:27,  1 user,  load average: 2.13, 2.61, 2.22
Tasks: 469 total,  18 running, 395 sleeping,  56 stopped,   0 zombie
%Cpu(s): 94.0 us,  5.6 sy,  0.0 ni,  0.0 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15808.0 total,   1081.5 free,   5280.6 used,   9948.1 buff/cache     
MiB Swap:   4096.0 total,   4094.2 free,      1.8 used.  10527.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 415177 root      20   0   10264   7040   2944 R 100.0   0.0   0:00.25 binSear+
 415169 root      20   0   10264   6784   2688 R 100.0   0.0   0:00.25 binSear+
 415173 root      20   0   10264   7040   2944 R 100.0   0.0   0:00.25 binSear+
 415179 root      20   0   10264   6912   2816 R 100.0   0.0   0:00.25 binSear+
 415180 root      20   0   10264   7040   2944 R 100.0   0.0   0:00.23 binSear+
 415182 root      20   0   10264   6784   2688 R 100.0   0.0   0:00.25 binSear+
 415183 root      20   0   10264   6784   2688 R 100.0   0.0   0:00.24 binSear+
 415168 root      20   0   10264   6784   2688 R  92.3   0.0   0:00.23 binSear+
 415171 root      20   0   10264   7040   2944 R  92.3   0.0   0:00.25 binSear+
 415174 root      20   0   10264   7040   2944 R  92.3   0.0   0:00.23 binSear+
 415175 root      20   0   10264   7040   2944 R  92.3   0.0   0:00.25 binSear+
 415178 root      20   0   10264   7040   2944 R  92.3   0.0   0:00.24 binSear+
 415170 root      20   0   10264   7040   2944 R  84.6   0.0   0:00.23 binSear+
 415172 root      20   0   10264   7040   2944 R  84.6   0.0   0:00.23 binSear+
 415176 root      20   0   10264   7040   2944 R  84.6   0.0   0:00.23 binSear+
 415181 root      20   0   10264   7040   2944 R  84.6   0.0   0:00.21 binSear+
 303857 junayd    20   0 1158.0g 470404 162572 S  15.4   2.9  21:56.54 chrome
 340250 junayd    20   0 1161.7g 414060 109148 S  15.4   2.6  14:22.93 code
 361992 junayd    20   0   32.4g 171224 118648 R  15.4   1.1   2:41.05 code
   1121 root     -51   0       0      0      0 S   7.7   0.0  30:51.62 irq/75-+
 340149 junayd    20   0 1157.9g 229460 144688 S   7.7   1.4   2:30.63 code
 361989 junayd    20   0   33.0g 322072 181032 S   7.7   2.0   6:20.18 chrome
 415167 root      20   0   23196   5376   3328 R   7.7   0.0   0:00.02 top
      1 root      20   0   23640  14328   9080 S   0.0   0.1   0:17.00 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.16 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:02.23 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   1:16.35 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:33.43 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:52.12 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.33 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:40.31 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.27 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.69 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:17.56 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.66 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:47.40 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.22 ksoftir+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:14.48 migrati+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.67 ksoftir+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     53 root      rt   0       0      0      0 S   0.0   0.0   0:43.83 migrati+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.28 ksoftir+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     59 root      rt   0       0      0      0 S   0.0   0.0   0:27.88 migrati+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.32 ksoftir+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     65 root      rt   0       0      0      0 S   0.0   0.0   0:06.18 migrati+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.55 ksoftir+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     71 root      rt   0       0      0      0 S   0.0   0.0   0:11.79 migrati+
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     77 root      rt   0       0      0      0 S   0.0   0.0   0:07.39 migrati+
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     83 root      rt   0       0      0      0 S   0.0   0.0   0:02.61 migrati+
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.31 ksoftir+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     89 root      rt   0       0      0      0 S   0.0   0.0   0:17.14 migrati+
     90 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     95 root      rt   0       0      0      0 S   0.0   0.0   0:02.74 migrati+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.24 ksoftir+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    101 root      rt   0       0      0      0 S   0.0   0.0   0:06.66 migrati+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.12 ksoftir+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    106 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    107 root      rt   0       0      0      0 S   0.0   0.0   0:05.09 migrati+
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.24 khungta+
    116 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root      20   0       0      0      0 S   0.0   0.0   0:22.33 kcompac+
    120 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    122 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.11 irq/9-a+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:01.04 kworker+
    138 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
    139 root      20   0       0      0      0 S   0.0   0.0   0:03.06 kswapd0
    140 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    142 root     -51   0       0      0      0 S   0.0   0.0   0:00.04 irq/32-+
    143 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
    144 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
    145 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
    146 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
    147 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
    159 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
    187 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
    188 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
    189 root     -51   0       0      0      0 S   0.0   0.0   0:00.06 irq/28-+
    190 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
    191 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
    192 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
