% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.09    0.105957       52978         2           futex
  0.35    0.000372         372         1           execve
  0.25    0.000264          11        24           mmap
  0.06    0.000062           7         8           mprotect
  0.05    0.000057          28         2           clone3
  0.04    0.000042           8         5           openat
  0.03    0.000037           7         5           fstat
  0.03    0.000028           9         3           brk
  0.02    0.000025           6         4           read
  0.02    0.000018           3         5           rt_sigprocmask
  0.01    0.000016           3         5           close
  0.01    0.000015          15         1           munmap
  0.01    0.000010          10         1         1 access
  0.01    0.000008           4         2           pread64
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000004           4         1           getrandom
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           prlimit64
  0.00    0.000003           3         1           rseq
  0.00    0.000002           2         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    0.106933        1425        75         1 total
