top - 07:18:17 up 2 days, 19:29,  1 user,  load average: 1.88, 2.45, 2.23
Tasks: 483 total,   2 running, 425 sleeping,  56 stopped,   0 zombie
%Cpu(s): 57.8 us, 42.2 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15808.0 total,    855.1 free,   5302.0 used,  10146.2 buff/cache     
MiB Swap:   4096.0 total,   4094.2 free,      1.8 used.  10505.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 416744 root      20   0  157744   7424   3328 S 100.0   0.0   0:00.31 both
 416738 root      20   0  157744   7424   3328 S  93.8   0.0   0:00.31 both
 416741 root      20   0  157744   7424   3328 S  93.8   0.0   0:00.31 both
 416742 root      20   0  157744   7424   3328 S  93.8   0.0   0:00.30 both
 416763 root      20   0  157744   7424   3328 S  93.8   0.0   0:00.24 both
 416736 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.29 both
 416737 root      20   0  157744   7296   3200 S  87.5   0.0   0:00.29 both
 416739 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.29 both
 416740 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.27 both
 416743 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.29 both
 416745 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.28 both
 416746 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.26 both
 416748 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.29 both
 416749 root      20   0  157744   7424   3328 S  87.5   0.0   0:00.28 both
 416747 root      20   0  157744   7424   3328 S  81.2   0.0   0:00.24 both
 416758 root      20   0  157744   7424   3328 S  75.0   0.0   0:00.25 both
 303857 junayd    20   0 1158.0g 516392 161548 S  18.8   3.2  22:33.97 chrome
 361989 junayd    20   0   33.0g 321732 184904 S  18.8   2.0   6:32.35 chrome
 340250 junayd    20   0 1159.9g 400228 109048 R  12.5   2.5  14:26.04 code
   1121 root     -51   0       0      0      0 S   6.2   0.0  30:55.43 irq/75-+
   3221 junayd    20   0 4788724 663680 139416 S   6.2   4.1  90:30.69 gnome-s+
   3656 junayd    39  19 1098520  44604  18296 S   6.2   0.3   0:43.54 tracker+
 361992 junayd    20   0   32.4g 173376 122680 S   6.2   1.1   2:42.63 code
 416695 junayd    39  19  410080  30436  24420 S   6.2   0.2   0:00.03 tracker+
 416735 root      20   0   23196   5504   3456 R   6.2   0.0   0:00.03 top
      1 root      20   0   23640  14328   9080 S   0.0   0.1   0:17.27 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.16 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
