% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.70    0.107332       35777         3           futex
  0.35    0.000384         384         1           execve
  0.26    0.000288          12        24           mmap
  0.21    0.000229          28         8           mprotect
  0.20    0.000213         106         2           clone3
  0.05    0.000055          11         5           openat
  0.05    0.000050          10         5           rt_sigprocmask
  0.03    0.000038          12         3           brk
  0.03    0.000037           7         5           fstat
  0.02    0.000023           5         4           read
  0.02    0.000022           4         5           close
  0.02    0.000019          19         1           munmap
  0.01    0.000012          12         1           getrandom
  0.01    0.000009           9         1           rt_sigaction
  0.01    0.000009           4         2           pread64
  0.01    0.000009           9         1         1 access
  0.00    0.000004           4         1           prlimit64
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.108745        1430        76         1 total
