% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 30.37    5.813157          58    100000 _ZNSi4readEPcl
 25.77    4.933262          49    100000 _ZNKSt9basic_iosIcSt11char_traitsIcEEcvbEv
 12.84    2.457591          49     50000 _ZNKSi6gcountEv
  9.30    1.780307          71     25000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEEC1EPKcSt13_Ios_Openmode
  8.79    1.682450          67     25000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEE5closeEv
  6.47    1.239231          49     25000 _ZNKSt9basic_iosIcSt11char_traitsIcEEntEv
  6.46    1.237371          49     25000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEED1Ev
  0.00    0.000147         147         1 atoi
------ ----------- ----------- --------- --------------------
100.00   19.143516                350001 total
