% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 42.03    0.166305           3     50004           read
 36.72    0.145287           5     25005           openat
 21.08    0.083407           3     25005           close
  0.10    0.000377         377         1           execve
  0.05    0.000190           8        22           mmap
  0.01    0.000024           4         6           mprotect
  0.01    0.000020           4         5           fstat
  0.00    0.000007           2         3           brk
  0.00    0.000006           3         2           pread64
  0.00    0.000005           5         1         1 access
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           rseq
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.395640           3    100062         1 total
