% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 57.20    0.000528         264         2           munmap
 22.97    0.000212           9        23           mmap
  6.28    0.000058           9         6           mprotect
  3.90    0.000036           7         5           openat
  1.95    0.000018           3         5           fstat
  1.73    0.000016           4         4           read
  1.41    0.000013           2         5           close
  1.41    0.000013           4         3           brk
  0.65    0.000006           3         2           pread64
  0.43    0.000004           4         1           prlimit64
  0.43    0.000004           4         1           getrandom
  0.33    0.000003           3         1           arch_prctl
  0.33    0.000003           3         1           futex
  0.33    0.000003           3         1           set_tid_address
  0.33    0.000003           3         1           set_robust_list
  0.33    0.000003           3         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.000923          14        64         1 total
