% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.82    0.406171      203085         2           futex
  0.09    0.000355          14        24           mmap
  0.02    0.000069           8         8           mprotect
  0.02    0.000063          12         5           openat
  0.01    0.000050          25         2           clone3
  0.01    0.000040           8         5           fstat
  0.01    0.000027           6         4           read
  0.01    0.000027           9         3           brk
  0.01    0.000026           5         5           close
  0.00    0.000020           4         5           rt_sigprocmask
  0.00    0.000018           9         2           pread64
  0.00    0.000016          16         1           munmap
  0.00    0.000009           9         1         1 access
  0.00    0.000005           5         1           prlimit64
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000004           4         1           getrandom
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           rseq
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.406915        5425        75         1 total
