% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 30.40   24.399511          60    400000 _ZNSi4readEPcl
 25.73   20.654500          51    400000 _ZNKSt9basic_iosIcSt11char_traitsIcEEcvbEv
 12.82   10.292191          51    200000 _ZNKSi6gcountEv
  9.30    7.460884          74    100000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEEC1EPKcSt13_Ios_Openmode
  8.83    7.089371          70    100000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEE5closeEv
  6.47    5.196235          51    100000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEED1Ev
  6.44    5.172988          51    100000 _ZNKSt9basic_iosIcSt11char_traitsIcEEntEv
  0.00    0.000205         205         1 atoi
------ ----------- ----------- --------- --------------------
100.00   80.265885               1400001 total
