top - 07:29:14 up 2 days, 19:40,  1 user,  load average: 2.17, 3.12, 2.73
Tasks: 474 total,  18 running, 400 sleeping,  56 stopped,   0 zombie
%Cpu(s): 19.1 us, 80.9 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15808.0 total,    787.4 free,   5452.9 used,  10088.5 buff/cache     
MiB Swap:   4096.0 total,   4094.2 free,      1.8 used.  10355.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 420691 root      20   0    6356   3200   3072 R 100.0   0.0   0:00.24 ioLatRe+
 420692 root      20   0    6356   3200   3072 R 100.0   0.0   0:00.25 ioLatRe+
 420694 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.25 ioLatRe+
 420696 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.24 ioLatRe+
 420690 root      20   0    6356   3200   3072 R  92.3   0.0   0:00.24 ioLatRe+
 420693 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420695 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420697 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420698 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420699 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.22 ioLatRe+
 420700 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420701 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420702 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.24 ioLatRe+
 420704 root      20   0    6356   3328   3200 R  92.3   0.0   0:00.23 ioLatRe+
 420689 root      20   0    6356   3072   2944 R  84.6   0.0   0:00.21 ioLatRe+
 420703 root      20   0    6356   3328   3200 R  84.6   0.0   0:00.23 ioLatRe+
 419090 junayd    20   0 1156.4g 484436 171960 S  30.8   3.0   1:20.75 chrome
 361989 junayd    20   0   33.0g 325052 182448 R   7.7   2.0   7:38.90 chrome
 420688 root      20   0   23196   5376   3328 R   7.7   0.0   0:00.02 top
      1 root      20   0   23640  14328   9080 S   0.0   0.1   0:17.37 systemd
