% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.83    0.000284         284         1           execve
 29.90    0.000203           8        23           mmap
  7.81    0.000053           8         6           mprotect
  6.33    0.000043           8         5           openat
  2.95    0.000020           4         5           fstat
  2.50    0.000017           5         3           brk
  2.21    0.000015           3         4           read
  2.21    0.000015           3         5           close
  1.03    0.000007           3         2           pread64
  0.74    0.000005           5         1         1 access
  0.59    0.000004           4         1           getrandom
  0.44    0.000003           3         1           arch_prctl
  0.44    0.000003           3         1           set_tid_address
  0.44    0.000003           3         1           set_robust_list
  0.44    0.000003           3         1           rseq
  0.15    0.000001           0         2           munmap
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000679          10        64         1 total
