% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.95    0.116226       58113         2           futex
  0.44    0.000514         514         1           execve
  0.40    0.000472          19        24           mmap
  0.09    0.000100          20         5           openat
  0.03    0.000039           7         5           fstat
  0.03    0.000030           7         4           read
  0.02    0.000026           5         5           close
  0.01    0.000015           7         2           pread64
  0.01    0.000013          13         1         1 access
  0.01    0.000008           2         3           brk
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           rseq
  0.00    0.000000           0         8           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         5           rt_sigprocmask
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         2           clone3
------ ----------- ----------- --------- --------- ----------------
100.00    0.117457        1566        75         1 total
