% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 44.01    0.174406           3     50004           read
 34.14    0.135306           5     25005           openat
 21.83    0.086516           3     25005           close
  0.01    0.000059           9         6           mprotect
  0.00    0.000016          16         1           munmap
  0.00    0.000011           3         3           brk
  0.00    0.000004           4         1           futex
  0.00    0.000004           4         1           prlimit64
  0.00    0.000004           4         1           getrandom
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0        22           mmap
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.396326           3    100062         1 total
