% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 43.64    0.345565           3    100004           read
 34.23    0.270991           5     50005           openat
 22.00    0.174228           3     50005           close
  0.06    0.000456         456         1           execve
  0.04    0.000353          16        22           mmap
  0.01    0.000053           8         6           mprotect
  0.00    0.000038           7         5           fstat
  0.00    0.000021           7         3           brk
  0.00    0.000016          16         1           munmap
  0.00    0.000010          10         1         1 access
  0.00    0.000008           4         2           pread64
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000005           5         1           getrandom
  0.00    0.000005           5         1           rseq
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           prlimit64
  0.00    0.000003           3         1           futex
  0.00    0.000002           2         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.791767           3    200062         1 total
