% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.88    0.413628      137876         3           futex
  0.04    0.000150           6        24           mmap
  0.03    0.000129          16         8           mprotect
  0.01    0.000045          22         2           clone3
  0.01    0.000024           4         5           rt_sigprocmask
  0.01    0.000022           4         5           openat
  0.00    0.000019           3         5           close
  0.00    0.000015          15         1           munmap
  0.00    0.000015           5         3           brk
  0.00    0.000013           2         5           fstat
  0.00    0.000011           2         4           read
  0.00    0.000008           4         2           pread64
  0.00    0.000007           7         1           prlimit64
  0.00    0.000005           5         1           getrandom
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           rseq
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.414107        5448        76         1 total
