% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 43.66    0.671964           3    200004           read
 34.57    0.532140           5    100005           openat
 21.72    0.334334           3    100005           close
  0.03    0.000405         405         1           execve
  0.01    0.000212           9        22           mmap
  0.00    0.000047           7         6           mprotect
  0.00    0.000030           6         5           fstat
  0.00    0.000025           8         3           brk
  0.00    0.000014          14         1         1 access
  0.00    0.000011          11         1           munmap
  0.00    0.000006           3         2           pread64
  0.00    0.000004           4         1           getrandom
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           futex
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           prlimit64
  0.00    0.000003           3         1           rseq
  0.00    0.000002           2         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    1.539209           3    400062         1 total
