% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
 30.41    5.931792          59    100000 _ZNSi4readEPcl
 25.77    5.026017          50    100000 _ZNKSt9basic_iosIcSt11char_traitsIcEEcvbEv
 12.85    2.506475          50     50000 _ZNKSi6gcountEv
  9.23    1.800042          72     25000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEEC1EPKcSt13_Ios_Openmode
  8.78    1.711797          68     25000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEE5closeEv
  6.49    1.265882          50     25000 _ZNKSt9basic_iosIcSt11char_traitsIcEEntEv
  6.48    1.263351          50     25000 _ZNSt14basic_ifstreamIcSt11char_traitsIcEED1Ev
  0.00    0.000091          91         1 atoi
------ ----------- ----------- --------- --------------------
100.00   19.505447                350001 total
