% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 43.51    0.552764           3    150004           read
 34.76    0.441676           5     75005           openat
 21.70    0.275700           3     75005           close
  0.02    0.000198           9        22           mmap
  0.01    0.000072          12         6           mprotect
  0.00    0.000014          14         1           munmap
  0.00    0.000010           2         5           fstat
  0.00    0.000009           3         3           brk
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           futex
  0.00    0.000003           3         1           set_tid_address
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           3         1           prlimit64
  0.00    0.000003           3         1           getrandom
  0.00    0.000003           3         1           rseq
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    1.270464           4    300062         1 total
