top - 07:22:03 up 2 days, 19:33,  1 user,  load average: 1.90, 2.51, 2.34
Tasks: 476 total,  19 running, 401 sleeping,  56 stopped,   0 zombie
%Cpu(s): 18.7 us, 80.9 sy,  0.0 ni,  0.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15808.0 total,    864.1 free,   5288.3 used,  10152.0 buff/cache     
MiB Swap:   4096.0 total,   4094.2 free,      1.8 used.  10519.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 418201 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.25 ioLatRe+
 418204 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.25 ioLatRe+
 418205 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.25 ioLatRe+
 418197 root      20   0    6356   3072   2944 R 100.0   0.0   0:00.24 ioLatRe+
 418198 root      20   0    6356   3072   2944 R 100.0   0.0   0:00.24 ioLatRe+
 418200 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.25 ioLatRe+
 418203 root      20   0    6356   3200   3072 R 100.0   0.0   0:00.23 ioLatRe+
 418206 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.23 ioLatRe+
 418207 root      20   0    6356   3200   3072 R 100.0   0.0   0:00.24 ioLatRe+
 418208 root      20   0    6356   3072   2944 R 100.0   0.0   0:00.24 ioLatRe+
 418209 root      20   0    6356   3200   3072 R 100.0   0.0   0:00.23 ioLatRe+
 418210 root      20   0    6356   3328   3200 R 100.0   0.0   0:00.24 ioLatRe+
 418199 root      20   0    6356   3328   3200 R  91.7   0.0   0:00.23 ioLatRe+
 418202 root      20   0    6356   3200   3072 R  91.7   0.0   0:00.24 ioLatRe+
 418211 root      20   0    6356   3328   3200 R  91.7   0.0   0:00.22 ioLatRe+
 418212 root      20   0    6356   3328   3200 R  83.3   0.0   0:00.22 ioLatRe+
 303857 junayd    20   0 1158.0g 583260 161596 S  16.7   3.6  23:34.38 chrome
 340314 junayd    20   0 1157.7g 113268  74624 R   8.3   0.7   0:53.85 code
 361989 junayd    20   0   33.0g 323232 184636 S   8.3   2.0   6:52.84 chrome
 418196 root      20   0   23196   5504   3456 R   8.3   0.0   0:00.02 top
      1 root      20   0   23640  14328   9080 S   0.0   0.1   0:17.31 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.16 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:02.25 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   1:16.57 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:33.53 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:52.34 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.33 ksoftir+
